tx_id,tx_size,tx_fee
tx113,53891,475
tx114,33998,961
tx115,51650,353
tx116,18553,850
tx117,80614,487
tx118,61826,246
tx119,13324,881
tx120,4570,976
tx121,23616,783
tx122,42779,305
tx123,53034,489
tx124,59650,276
tx125,18067,241
tx126,21229,806
tx127,64496,340
tx128,89963,173
tx129,8273,223
tx130,52333,441
tx131,72795,790
tx132,20063,833
tx133,21630,492
tx134,5110,912
tx135,33685,673
tx136,45866,725
tx137,5764,650
tx138,6579,920
tx139,81977,642
tx140,91953,848
tx141,1930,990
tx142,54032,303
tx143,41629,378
tx144,79409,219
tx145,71094,860
tx146,39149,854
tx147,94536,697
tx148,20907,975
tx149,63636,242
tx150,40184,723
tx151,99721,378
tx152,53265,432
tx153,34811,739
tx154,16096,682
tx155,56245,381
tx156,94305,686
tx157,86833,148
tx158,36502,758
tx159,72484,650
tx160,10930,815
tx161,6448,578
tx162,52588,195
tx163,2425,895
tx164,42871,929
tx165,20971,973
tx166,79720,673
tx167,26490,109
tx168,31788,324
tx169,9863,645
tx170,69167,250
tx171,65202,182
tx172,89066,852
tx173,91055,478
tx174,1577,189
tx175,90226,146
tx176,6946,296
tx177,52393,635
tx178,18409,519
tx179,11151,944
tx180,15140,718
tx181,5277,639
tx182,49903,738
tx183,53423,722
tx184,98805,942
tx185,58847,258
tx186,78646,533
tx187,11292,270
tx188,19410,536
tx189,89471,632
tx190,84216,925
tx191,49838,316
tx192,69221,225
tx193,61021,561
tx194,90011,403
tx195,25169,418
tx196,87278,364
tx197,47830,654
tx198,63904,701
tx199,56488,311
tx200,13956,413
tx201,14570,786
tx202,39472,874
tx203,22026,310
tx204,73566,844
tx205,69319,999
tx206,88176,594
tx207,93014,262
tx208,1185,424
tx209,47274,988
tx210,54895,697
tx211,5679,234
tx212,73972,420
tx213,97515,121
tx214,54723,861
tx215,29178,635
tx216,99369,810
tx217,56038,695
tx218,64855,149
tx219,51004,377
tx220,95224,442
tx221,92519,347
tx222,87103,572
tx223,33758,560
tx224,16481,355
tx225,19776,836
tx226,59896,266
tx227,23000,628
tx228,47521,657
tx229,34672,486
tx230,17099,154
tx231,37393,159
tx232,97387,690
tx233,86783,308
tx234,27694,623
tx235,83503,266
tx236,42941,994
tx237,99144,236
tx238,6197,946
tx239,49454,869
tx240,39811,865
tx241,16751,220
tx242,64411,279
tx243,49057,484
tx244,40642,549
tx245,58746,627
tx246,48438,791
tx247,6579,280
tx248,48458,816
tx249,52939,940
tx250,3216,411
tx251,42244,953
tx252,51075,921
tx253,73137,996
tx254,71261,985
tx255,65902,698
tx256,43298,101
tx257,89431,355
tx258,99418,627
tx259,45123,364
tx260,84294,123
tx261,5046,499
tx262,37114,312
tx263,93092,617
tx264,69589,976
tx265,95861,128
tx266,13835,473
tx267,94595,564
tx268,39626,675
tx269,1363,977
tx270,19065,449
tx271,22764,444
tx272,36840,158
tx273,15087,980
tx274,44596,441
tx275,81198,103
tx276,51331,530
tx277,47814,121
tx278,80029,252
tx279,20670,848
tx280,43002,375
tx281,38227,569
tx282,93474,421
tx283,81665,130
tx284,68445,225
tx285,94559,336
tx286,80440,278
tx287,8989,295
tx288,16100,791
tx289,77939,878
tx290,27206,183
tx291,11248,270
tx292,95728,306
tx293,84634,427
tx294,32801,183
tx295,65341,865
tx296,70800,495
tx297,55145,705
tx298,54261,406
tx299,62284,348
tx300,45081,832
tx301,68018,479
tx302,60979,190
tx303,60048,806
tx304,24284,650
tx305,74258,432
tx306,84140,471
tx307,91034,481
tx308,54562,986
tx309,15217,503
tx310,26782,726
tx311,36258,903
tx312,53479,148
tx313,40957,565
tx314,96893,122
tx315,18363,562
tx316,47237,198
tx317,36849,446
tx318,47276,996
tx319,71454,314
tx320,34832,149
tx321,23849,384
tx322,44992,944
tx323,26083,962
tx324,49941,626
tx325,68045,326
tx326,18090,625
tx327,68725,177
tx328,29627,333
tx329,57683,601
tx330,18907,872
tx331,81690,621
tx332,91076,544
tx333,2923,894
tx334,49866,170
tx335,2456,668
tx336,72999,314
tx337,11878,206
tx338,73362,763
tx339,87232,225
tx340,16414,121
tx341,34770,485
tx342,40004,280
tx343,21912,229
tx344,50688,868
tx345,78745,353
tx346,28654,992
tx347,66406,752
tx348,75239,717
tx349,88244,834
tx350,81845,215
tx351,22294,755
tx352,3938,119
tx353,7624,863
tx354,4853,776
tx355,65543,390
tx356,88131,162
tx357,88241,114
tx358,84749,410
tx359,71423,110
tx360,2007,539
tx361,16166,887
tx362,16440,725
tx363,15666,454
tx364,95824,608
tx365,11217,545
tx366,2404,229
tx367,73666,787
tx368,31733,350
tx369,30015,119
tx370,15728,679
tx371,1817,594
tx372,88192,342
tx373,42339,429
tx374,6777,121
tx375,82153,223
tx376,70910,278
tx377,21703,291
tx378,14186,939
tx379,22741,183
tx380,65662,706
tx381,7228,871
tx382,85174,512
tx383,61275,968
tx384,75013,386
tx385,42015,975
tx386,48085,908
tx387,45139,898
tx388,43573,491
tx389,95415,251
tx390,60325,515
tx391,77436,195
tx392,20740,244
tx393,85233,582
tx394,5745,392
tx395,51311,764
tx396,8194,155
tx397,78856,914
tx398,51151,288
tx399,76928,992
tx400,76089,780
tx401,50075,646
tx402,49338,198
tx403,88941,491
tx404,7540,295
tx405,22033,820
tx406,56865,526
tx407,87591,713
tx408,82739,465
tx409,43978,438
tx410,10338,534
tx411,56780,314
tx412,8677,966
tx413,88927,326
tx414,41863,821
tx415,73174,808
tx416,89120,703
tx417,1811,419
tx418,94233,256
tx419,81663,122
tx420,22188,444
tx421,18949,605
tx422,33942,957
tx423,2077,750
tx424,42570,460
tx425,39299,417
tx426,86973,480
tx427,33320,415
tx428,29749,686
tx429,82659,186
tx430,17959,405
tx431,27403,460
tx432,37727,408
tx433,44062,549
tx434,93814,286
tx435,27958,478
tx436,23800,496
tx437,17195,725
tx438,53275,293
tx439,33878,251
tx440,38982,670
tx441,34406,179
tx442,79596,962
tx443,43765,199
tx444,89232,230
tx445,66770,855
tx446,72348,712
tx447,24006,425
tx448,74948,255
tx449,75872,360
tx450,76732,838
tx451,85093,481
tx452,25694,249
tx453,4869,935
tx454,70524,655
tx455,92520,216
tx456,62898,980
tx457,23705,865
tx458,31938,553
tx459,30059,106
tx460,93047,504
tx461,69610,400
tx462,79415,458
tx463,94876,636
tx464,55745,575
tx465,93984,196
tx466,55626,447
tx467,33190,401
tx468,19159,440
tx469,27899,786
tx470,99266,692
tx471,87558,548
tx472,86914,926
tx473,47606,718
tx474,51833,226
tx475,82370,237
tx476,23977,548
tx477,96145,468
tx478,62258,726
tx479,96818,365
tx480,4217,929
tx481,17782,422
tx482,88911,859
tx483,25041,662
tx484,75952,165
tx485,29408,457
tx486,49854,133
tx487,90812,588
tx488,6685,732
tx489,30274,584
tx490,53526,162
tx491,13199,232
tx492,74435,964
tx493,43473,820
tx494,38297,674
tx495,19881,172
tx496,16569,239
tx497,4260,907
tx498,68873,814
tx499,31039,345
tx500,41898,769
tx501,71058,863
tx502,37371,396
tx503,34490,785
tx504,79883,564
tx505,71238,164
tx506,48100,658
tx507,55016,734
tx508,37165,571
tx509,21160,711
tx510,52926,409
tx511,27933,406
tx512,24989,978
tx513,98258,843
tx514,45170,785
tx515,93416,802
tx516,27186,742
tx517,64045,685
tx518,2508,944
tx519,6235,379
tx520,79611,315
tx521,68124,906
tx522,86527,900
tx523,35585,770
tx524,13645,529
tx525,8830,578
tx526,53204,470
tx527,1420,116
tx528,98921,406
tx529,78280,969
tx530,2211,648
tx531,85892,725
tx532,50139,313
tx533,37443,873
tx534,18961,447
tx535,3217,166
tx536,32855,654
tx537,4118,462
tx538,26223,574
tx539,74840,399
tx540,20743,644
tx541,60856,288
tx542,19553,227
tx543,52281,290
tx544,70062,997
tx545,95973,144
tx546,40097,972
tx547,29460,154
tx548,54667,491
tx549,66557,427
tx550,69615,454
tx551,75451,575
tx552,69576,581
tx553,35929,860
tx554,99904,498
tx555,74289,323
tx556,17336,123
tx557,27699,156
tx558,28886,990
tx559,72704,104
tx560,73698,981
tx561,58126,358
tx562,67156,287
tx563,21883,926
tx564,94869,805
tx565,86799,291
tx566,34852,196
tx567,62737,824
tx568,26591,687
tx569,24678,692
tx570,36954,108
tx571,74365,263
tx572,32217,746
tx573,88587,741
tx574,14148,291
tx575,49662,796
tx576,38443,345
tx577,38631,453
tx578,19817,363
tx579,9160,123
tx580,41106,502
tx581,58237,627
tx582,55126,119
tx583,63766,731
tx584,42959,273
tx585,21186,967
tx586,62991,380
tx587,67222,418
tx588,22512,211
tx589,9501,705
tx590,34899,497
tx591,61005,845
tx592,10894,282
tx593,82769,667
tx594,15890,273
tx595,33359,143
tx596,68990,931
tx597,55267,271
tx598,79484,441
tx599,16743,134
tx600,28862,616
tx601,70221,175
tx602,87149,974
tx603,56423,253
tx604,45666,322
tx605,70666,154
tx606,85115,480
tx607,17003,697
tx608,38823,897
tx609,52059,235
tx610,1458,465
tx611,83004,523
tx612,69278,950
tx613,3061,957
tx614,72912,666
tx615,77865,354
tx616,45629,306
tx617,83399,849
tx618,50677,957
tx619,85892,736
tx620,98017,908
tx621,78320,580
tx622,15655,782
tx623,86710,734
tx624,8264,911
tx625,92867,207
tx626,68215,981
tx627,73458,503
tx628,33102,703
tx629,34040,777
tx630,53647,276
tx631,84956,409
tx632,18437,138
tx633,72824,565
tx634,87597,120
tx635,67271,119
tx636,5016,168
tx637,10383,598
tx638,47096,449
tx639,9420,611
tx640,10142,582
tx641,23548,964
tx642,81289,831
tx643,44743,871
tx644,56875,426
tx645,84916,163
tx646,30762,867
tx647,25784,632
tx648,38323,270
tx649,91966,967
tx650,23451,873
tx651,19444,120
tx652,27617,197
tx653,4023,738
tx654,30944,107
tx655,36318,704
tx656,99754,764
tx657,88749,219
tx658,77462,659
tx659,6753,381
tx660,33386,297
tx661,94609,431
tx662,35941,183
tx663,62475,499
tx664,52486,231
tx665,39991,197
tx666,90304,119
tx667,70345,854
tx668,22846,414
tx669,75671,432
tx670,68868,406
tx671,1044,238
tx672,66750,609
tx673,63266,795
tx674,92321,834
tx675,41840,887
tx676,38574,790
tx677,99824,237
tx678,14799,882
tx679,15858,585
tx680,89543,323
tx681,93741,541
tx682,19959,702
tx683,25373,292
tx684,7612,751
tx685,79353,941
tx686,12080,811
tx687,86885,429
tx688,64708,121
tx689,6853,341
tx690,73370,637
tx691,23817,658
tx692,47697,963
tx693,30088,196
tx694,36316,577
tx695,1938,526
tx696,24423,815
tx697,79407,186
tx698,40905,602
tx699,42854,366
tx700,54054,595
tx701,53547,335
tx702,54893,371
tx703,88888,653
tx704,91147,817
tx705,50096,541
tx706,75467,371
tx707,29468,638
tx708,4581,261
tx709,4574,391
tx710,94047,114
tx711,56740,321
tx712,97657,261
tx713,99542,542
tx714,31542,686
tx715,23099,305
tx716,4231,406
tx717,15307,832
tx718,51916,184
tx719,1244,593
tx720,71376,691
tx721,4722,865
tx722,33477,964
tx723,59912,912
tx724,11796,151
tx725,36801,395
tx726,54587,193
tx727,36687,269
tx728,95242,270
tx729,10515,444
tx730,18704,809
tx731,59094,454
tx732,55128,672
tx733,38578,551
tx734,78708,397
tx735,57919,732
tx736,74209,711
tx737,66735,726
tx738,72453,819
tx739,44974,620
tx740,52213,343
tx741,49494,485
tx742,92296,709
tx743,26192,402
tx744,52262,944
tx745,77211,548
tx746,32154,159
tx747,12649,152
tx748,72535,778
tx749,49405,340
tx750,85879,396
tx751,81554,327
tx752,61129,139
tx753,41792,981
tx754,76525,360
tx755,25397,123
tx756,2612,541
tx757,21010,707
tx758,5315,460
tx759,29480,397
tx760,59792,736
tx761,55670,307
tx762,41264,558
tx763,8545,984
tx764,29224,807
tx765,14408,722
tx766,86133,715
tx767,75377,170
tx768,8942,700
tx769,56508,375
tx770,56498,616
tx771,36146,336
tx772,2873,451
tx773,17678,821
tx774,28323,396
tx775,81885,743
tx776,32218,194
tx777,70201,370
tx778,58756,982
tx779,37016,334
tx780,64670,852
tx781,45383,646
tx782,69617,447
tx783,76971,530
tx784,14794,668
tx785,56119,547
tx786,54998,272
tx787,54352,230
tx788,69028,484
tx789,15106,852
tx790,42991,337
tx791,19439,395
tx792,16567,828
tx793,97666,428
tx794,37729,909
tx795,73684,299
tx796,43895,455
tx797,35227,277
tx798,37831,773
tx799,76105,574
tx800,29486,868
tx801,5341,589
tx802,90241,392
tx803,44388,650
tx804,65014,927
tx805,62190,515
tx806,69662,200
tx807,21894,500
tx808,25862,346
tx809,5577,932
tx810,3562,292
tx811,66317,997
tx812,61769,914
tx813,96794,582
tx814,46601,960
tx815,73806,698
tx816,5506,495
tx817,45578,463
tx818,87591,204
tx819,50721,556
tx820,87575,651
tx821,60942,582
tx822,17850,176
tx823,57926,307
tx824,91563,758
tx825,23202,319
tx826,1192,121
tx827,99813,115
tx828,9898,431
tx829,9252,654
tx830,69100,718
tx831,63192,558
tx832,2682,578
tx833,35398,549
tx834,49078,357
tx835,93793,866
tx836,34772,834
tx837,66268,450
tx838,64782,459
tx839,40914,508
tx840,39124,694
tx841,59684,304
tx842,60834,321
tx843,59100,474
tx844,71892,607
tx845,28065,746
tx846,10550,463
tx847,55350,211
tx848,37605,401
tx849,4764,676
tx850,39807,771
tx851,90652,566
tx852,6533,317
tx853,5458,141
tx854,12351,993
tx855,13256,551
tx856,13533,323
tx857,98875,263
tx858,14731,813
tx859,18319,375
tx860,25480,379
tx861,28337,317
tx862,60373,542
tx863,81705,184
tx864,28353,584
tx865,92456,792
tx866,31178,719
tx867,21885,910
tx868,42697,936
tx869,1400,446
tx870,88896,293
tx871,53848,744
tx872,4484,436
tx873,1209,656
tx874,91621,355
tx875,27009,261
tx876,33154,124
tx877,69000,865
tx878,92498,267
tx879,14451,654
tx880,96810,161
tx881,95389,140
tx882,49441,785
tx883,7179,309
tx884,44161,107
tx885,89277,116
tx886,82973,284
tx887,58973,886
tx888,45854,157
tx889,25692,669
tx890,81358,634
tx891,70168,611
tx892,34219,145
tx893,58550,136
tx894,3397,233
tx895,71528,658
tx896,20421,569
tx897,35110,465
tx898,52925,369
tx899,68367,134
tx900,68033,756
tx901,99208,912
tx902,69237,420
tx903,37544,410
tx904,89002,974
tx905,78715,488
tx906,7260,499
tx907,39575,101
tx908,75763,865
tx909,18997,830
tx910,72520,605
tx911,83988,543
tx912,37471,247
tx913,13435,300
tx914,47548,203
tx915,92307,661
tx916,76271,662
tx917,76180,126
tx918,17100,135
tx919,44185,680
tx920,1010,872
tx921,36417,596
tx922,48640,867
tx923,58300,381
tx924,98035,685
tx925,7048,438
tx926,39455,338
tx927,89851,160
tx928,96753,139
tx929,35099,163
tx930,31852,942
tx931,9047,595
tx932,35580,339
tx933,84763,813
tx934,7393,629
tx935,73840,520
tx936,26919,998
tx937,62003,140
tx938,89412,818
tx939,42040,716
tx940,19869,496
tx941,4402,156
tx942,40536,818
tx943,88034,548
tx944,40990,338
tx945,91971,245
tx946,15033,624
tx947,21448,663
tx948,11596,786
tx949,85690,954
tx950,89570,150
tx951,2419,908
tx952,65224,447
tx953,31443,535
tx954,52854,309
tx955,30452,149
tx956,11240,304
tx957,95882,833
tx958,41359,541
tx959,74250,820
tx960,31036,313
tx961,40272,144
tx962,7557,103
tx963,69185,604
tx964,19759,213
tx965,62051,664
tx966,99674,691
tx967,46882,956
tx968,10697,268
tx969,79386,748
tx970,63525,572
tx971,46130,652
tx972,85382,113
tx973,10129,159
tx974,75001,989
tx975,80575,292
tx976,59877,567
tx977,60954,416
tx978,74147,765
tx979,87319,862
tx980,46014,204
tx981,37346,528
tx982,4081,106
tx983,84757,848
tx984,29161,275
tx985,12408,377
tx986,9008,967
tx987,18722,670
tx988,32228,867
tx989,4984,705
tx990,38892,569
tx991,21667,449
tx992,92765,854
tx993,22575,719
tx994,43325,721
tx995,92527,158
tx996,9784,980
tx997,24967,270
tx998,17276,867
tx999,56717,697
tx1000,25690,383
tx1001,35471,457
tx1002,7647,995
tx1003,23376,434
tx1004,31755,782
tx1005,19769,177
tx1006,19840,723
tx1007,66186,300
tx1008,5028,548
tx1009,35613,307
tx1010,71139,542
tx1011,79515,332
tx1012,89963,742
tx1013,78045,904
tx1014,36717,661
tx1015,57046,454
tx1016,86792,689
tx1017,42385,476
tx1018,95735,192
tx1019,61074,939
tx1020,41146,117
tx1021,68589,833
tx1022,17083,886
tx1023,28187,814
tx1024,84403,617
tx1025,72440,727
tx1026,44286,265
tx1027,77542,912
tx1028,17777,902
tx1029,73535,611
tx1030,88855,518
tx1031,32974,742
tx1032,49934,724
tx1033,61238,783
tx1034,80020,870
tx1035,24188,916
tx1036,16278,805
tx1037,69480,606
tx1038,89119,416
tx1039,98520,774
tx1040,22176,815
tx1041,70828,369
tx1042,97705,610
tx1043,48346,446
tx1044,73296,464
tx1045,91764,595
tx1046,65090,909
tx1047,91129,976
tx1048,19275,746
tx1049,53962,136
tx1050,98222,818
tx1051,20669,115
tx1052,19672,981
tx1053,97724,630
tx1054,65516,491
tx1055,67045,916
tx1056,83970,426
tx1057,51440,116
tx1058,72756,962
tx1059,34078,982
tx1060,44290,643
tx1061,84556,745
tx1062,52079,802
tx1063,53655,412
tx1064,89506,800
tx1065,44642,947
tx1066,94285,576
tx1067,96289,839
tx1068,96095,718
tx1069,20249,605
tx1070,1340,330
tx1071,81267,228
tx1072,4344,776
tx1073,83854,299
tx1074,42144,616
tx1075,15561,258
tx1076,5286,126
tx1077,16731,672
tx1078,86798,283
tx1079,88866,248
tx1080,76884,885
tx1081,50316,710
tx1082,8226,471
tx1083,73627,572
tx1084,74883,585
tx1085,98541,834
tx1086,14545,677
tx1087,14854,236
tx1088,33948,448
tx1089,46655,916
tx1090,82218,253
tx1091,35062,223
tx1092,6945,171
tx1093,19199,464
tx1094,85591,292
tx1095,24945,686
tx1096,76097,324
tx1097,99685,672
tx1098,11480,530
tx1099,46417,118
tx1100,21559,834
tx1101,50365,510
tx1102,75255,546
tx1103,36126,607
tx1104,76129,226
tx1105,21029,810
tx1106,7205,163
tx1107,58866,957
tx1108,57988,328
tx1109,74461,834
tx1110,12233,264
tx1111,21566,461
tx1112,28225,263
tx1113,40557,116
tx1114,76935,899
tx1115,91495,957
tx1116,93598,530
tx1117,55292,527
tx1118,69227,529
tx1119,59825,564
tx1120,83478,609
tx1121,30549,630
tx1122,27475,459
tx1123,30846,402
tx1124,52425,894
tx1125,68248,261
tx1126,87206,758
tx1127,17620,220
tx1128,91910,890
tx1129,27322,768
tx1130,31048,443
tx1131,40731,260
tx1132,92562,443
tx1133,82967,511
tx1134,57549,803
tx1135,14929,169
tx1136,71844,501
tx1137,75892,437
tx1138,58339,423
tx1139,92249,906
tx1140,5430,576
tx1141,32091,225
tx1142,63113,661
tx1143,65886,494
tx1144,99362,774
tx1145,5953,222
tx1146,17514,224
tx1147,86218,491
tx1148,17564,148
tx1149,9890,769
tx1150,33998,582
tx1151,86690,322
tx1152,95524,736
tx1153,87326,456
tx1154,79613,404
tx1155,42902,434
tx1156,98101,730
tx1157,10390,176
tx1158,21223,810
tx1159,93289,216
tx1160,42171,946
tx1161,91489,432
tx1162,46252,548
tx1163,2162,133
tx1164,29679,372
tx1165,91942,890
tx1166,34318,996
tx1167,76462,663
tx1168,61977,591
tx1169,47612,838
tx1170,26355,448
tx1171,40080,436
tx1172,96679,623
tx1173,60286,918
tx1174,56990,632
tx1175,69165,527
tx1176,13782,715
tx1177,16052,419
tx1178,97490,711
tx1179,79866,603
tx1180,70272,574
tx1181,85351,673
tx1182,37542,438
tx1183,16638,842
tx1184,57142,700
tx1185,98062,658
tx1186,77378,270
tx1187,20870,149
tx1188,96253,781
tx1189,8350,169
tx1190,12323,762
tx1191,22181,189
tx1192,65723,999
tx1193,11405,246
tx1194,46157,355
tx1195,25381,226
tx1196,33893,140
tx1197,66489,747
tx1198,77320,701
tx1199,10283,494
tx1200,88355,999
tx1201,79304,726
tx1202,25371,863
tx1203,2508,190
tx1204,28330,881
tx1205,40094,793
tx1206,2858,478
tx1207,52274,672
tx1208,35375,530
tx1209,28608,381
tx1210,39552,976
tx1211,37539,685
tx1212,33141,235
tx1213,99951,159
tx1214,60815,813
tx1215,23658,591
tx1216,57949,710
tx1217,51483,904
tx1218,38110,163
tx1219,6618,728
tx1220,74203,158
tx1221,98667,400
tx1222,70554,407
tx1223,68050,118
tx1224,96653,812
tx1225,85616,784
tx1226,52381,217
tx1227,45908,353
tx1228,42646,236
tx1229,3369,618
tx1230,67240,916
tx1231,61984,284
tx1232,11088,665
tx1233,56551,500
tx1234,95815,815
tx1235,32757,395
tx1236,38557,816
tx1237,93982,201
tx1238,41088,580
tx1239,52642,518
tx1240,88619,680
tx1241,70246,676
tx1242,12516,231
tx1243,67570,154
tx1244,18165,335
tx1245,28966,747
tx1246,45696,657
tx1247,46973,933
tx1248,34228,426
tx1249,81717,668
tx1250,80712,626
tx1251,15112,820
tx1252,27903,180
tx1253,83181,405
tx1254,53529,969
tx1255,1068,416
tx1256,31976,709
tx1257,53839,206
tx1258,12779,277
tx1259,19198,320
tx1260,41835,185
tx1261,2296,356
tx1262,27965,319
tx1263,1436,134
tx1264,65335,783
tx1265,29948,500
tx1266,98122,692
tx1267,75048,336
tx1268,64385,623
tx1269,40830,356
tx1270,80296,642
tx1271,28639,513
tx1272,40505,197
tx1273,1720,941
tx1274,45645,314
tx1275,18637,702
tx1276,62998,453
tx1277,93778,700
tx1278,90465,998
tx1279,97530,358
tx1280,60661,435
tx1281,55440,156
tx1282,95999,348
tx1283,71622,647
tx1284,48838,763
tx1285,80800,769
tx1286,32364,104
tx1287,60346,107
tx1288,8326,224
tx1289,69901,305
tx1290,34992,542
tx1291,87103,276
tx1292,80044,537
tx1293,5286,173
tx1294,95272,942
tx1295,50124,957
tx1296,93223,199
tx1297,10071,116
tx1298,41707,892
tx1299,68202,331
tx1300,75394,501
tx1301,28042,458
tx1302,81823,683
tx1303,34139,348
tx1304,39445,471
tx1305,84714,658
tx1306,26933,411
tx1307,7396,805
tx1308,1483,707
tx1309,96929,914
tx1310,83866,848
tx1311,24359,394
tx1312,30225,131
tx1313,93530,150
tx1314,64694,437
tx1315,26464,335
tx1316,61975,158
tx1317,42431,345
tx1318,34490,478
tx1319,41451,504
tx1320,24378,617
tx1321,80330,906
tx1322,41033,955
tx1323,85089,247
tx1324,1178,173
tx1325,31657,604
tx1326,38520,263
tx1327,31548,981
tx1328,85713,635
tx1329,10120,391
tx1330,38029,562
tx1331,55868,444
tx1332,53580,708
tx1333,22808,605
tx1334,24631,530
tx1335,24193,903
tx1336,52449,853
tx1337,43150,853
tx1338,24923,339
tx1339,60670,689
tx1340,17540,907
tx1341,57657,243
tx1342,72158,155
tx1343,30998,354
tx1344,85615,886
tx1345,24495,968
tx1346,84360,112
tx1347,20713,740
tx1348,21018,457
tx1349,4821,741
tx1350,86958,966
tx1351,8807,740
tx1352,99346,691
tx1353,66347,993
tx1354,36038,571
tx1355,67289,713
tx1356,58538,488
tx1357,35491,265
tx1358,91931,950
tx1359,86330,760
tx1360,43278,952
tx1361,71886,365
tx1362,60794,835
tx1363,11588,367
tx1364,12257,593
tx1365,67728,876
tx1366,62782,101
tx1367,47675,141
tx1368,3210,948
tx1369,24015,177
tx1370,84948,461
tx1371,4448,524
tx1372,57280,173
tx1373,43315,765
tx1374,17293,964
tx1375,66345,370
tx1376,20277,715
tx1377,54006,486
tx1378,3698,715
tx1379,31129,887
tx1380,21084,172
tx1381,77599,622
tx1382,97448,775
tx1383,91833,157
tx1384,85092,416
tx1385,92977,349
tx1386,10798,540
tx1387,75374,580
tx1388,47460,446
tx1389,68049,409
tx1390,17150,745
tx1391,46172,933
tx1392,31408,621
tx1393,74273,863
tx1394,66248,995
tx1395,50147,636
tx1396,57289,171
tx1397,48231,844
tx1398,96119,839
tx1399,76575,628
tx1400,44803,961
tx1401,17498,765
tx1402,49221,760
tx1403,66606,291
tx1404,7090,180
tx1405,55051,753
tx1406,27327,173
tx1407,3599,620
tx1408,9350,719
tx1409,97396,245
tx1410,17973,711
tx1411,14573,446
tx1412,41677,654
tx1413,26758,359
tx1414,47259,595
tx1415,70350,856
tx1416,86166,474
tx1417,93668,714
tx1418,71399,784
tx1419,28450,918
tx1420,28382,463
tx1421,84323,815
tx1422,32893,780
tx1423,56283,353
tx1424,47745,948
tx1425,20951,527
tx1426,56862,733
tx1427,5159,336
tx1428,32081,422
tx1429,21673,224
tx1430,53325,657
tx1431,45178,724
tx1432,55107,901
tx1433,44921,752
tx1434,70122,123
tx1435,4397,900
tx1436,12315,851
tx1437,98855,227
tx1438,95037,431
tx1439,19952,621
tx1440,80719,596
tx1441,7766,778
tx1442,33382,944
tx1443,50829,219
tx1444,13181,112
tx1445,21923,665
tx1446,18340,393
tx1447,74555,296
tx1448,67407,185
tx1449,52524,695
tx1450,49408,233
tx1451,16619,932
tx1452,9168,557
tx1453,67972,827
tx1454,9000,886
tx1455,30652,481
tx1456,6671,881
tx1457,51413,374
tx1458,57799,849
tx1459,4628,116
tx1460,11180,691
tx1461,93616,482
tx1462,8319,127
tx1463,81841,934
tx1464,62870,978
tx1465,47925,693
tx1466,52763,808
tx1467,54139,190
tx1468,14056,547
tx1469,90268,950
tx1470,22302,235
tx1471,36366,409
tx1472,53201,324
tx1473,98132,372
tx1474,25735,174
tx1475,43916,409
tx1476,88843,258
tx1477,60942,915
tx1478,56644,527
tx1479,3124,499
tx1480,12081,460
tx1481,62983,883
tx1482,41719,238
tx1483,62826,381
tx1484,70432,821
tx1485,71756,607
tx1486,11948,532
tx1487,23810,210
tx1488,13360,366
tx1489,88930,803
tx1490,18002,605
tx1491,49833,701
tx1492,21714,307
tx1493,20181,516
tx1494,55848,534
tx1495,54065,417
